Country;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source;;
Estonia;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;67;83242927;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;149246269;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;203;7749755;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;7;202971553;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;61;78912719;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;171;4584384;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;16;11469519;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;5;74210569;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;44;51684547;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;76736644;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;25;91531253;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;17;48364613;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;4;319218754;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;28;92498091;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;367593085;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;42;7427445;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;9;954700134;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;3;482151449;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;38;11759677;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;1;687913107;CTS
Bosnia and Herzegovina;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;39;2620545;CTS
Bosnia and Herzegovina;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;4;528188104;CTS
Bosnia and Herzegovina;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;0;932274021;CTS
Bosnia and Herzegovina;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;19;87075486;CTS
Bosnia and Herzegovina;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;213091205;CTS
Belgium;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;9;398109097;CTS
Belgium;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;708;32553;CTS
Belgium;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;61;10162538;CTS
Belgium;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;29;97560759;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;15;25465058;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;5;575035267;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;2;538915492;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;70;83574222;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;200997476;CTS
Austria;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;47;29351048;CTS
Austria;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;8;3078334;CTS
Austria;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;57;37559979;CTS
Austria;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;131870371;CTS
Austria;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;35;17342452;CTS
Andorra;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;125;2086811;CTS
Andorra;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;17;88695445;CTS
Andorra;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;2;38492726;CTS
Andorra;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;4;769854519;CTS
Andorra;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;CTS;
Albania;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2008;Rate per 100;000 population;12;8918824;CTS
Albania;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2008;Rate per 100;000 population;2;531069713;CTS
Albania;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2008;Rate per 100;000 population;1;298838406;CTS
Albania;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2008;Rate per 100;000 population;4;795711036;CTS
Albania;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2008;Rate per 100;000 population;0;333035489;CTS
Ukraine;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;8;79846356;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;2;943740104;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;1;386702497;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;50;88215462;CTS
Ukraine;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;63766477;CTS/DMDB
Switzerland;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;6;236654264;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;6;953805473;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;56;42443262;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;31;9132288;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;24;95942333;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;CTS;
Sweden;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;98;17727222;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;58;3483322;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;59;57301885;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;150;42347;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;86;95275276;CTS
Spain;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;53;43375194;CTS
Spain;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;21;21837946;CTS
Spain;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;3;362382285;CTS
Spain;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;270609981;CTS
Spain;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;179;8618828;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;106;7861575;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;18;35234147;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;3;83193366;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;22;65902426;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;195758309;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;44;89023819;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;2;164945535;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;21;98252389;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;74015232;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;10;39914009;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;15;47058265;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;5;483103699;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;0;800777822;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;40;26132939;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;222438284;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;3;420006177;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;114;6834637;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;361724721;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;21;18982022;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;10;61547057;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;2;991372838;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;60;8735894;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;4;381624337;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;12;13372893;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;7;258744442;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;1;568006034;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;10;18088197;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;13;6316136;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;9;6164818;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;4;527555683;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;929984411;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;4;1489233;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;192;9208559;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;4;728174778;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;8;144540586;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;20;19619566;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;8;85096436;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;4;88204619;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;50;50641559;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;67832368;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;28;7270077;CTS
Norway;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;59;866415;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;50;10358425;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;19;1981871;CTS
Norway;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;34;52808277;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;11;97641226;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;5;988206131;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;1;352175578;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;29;1683589;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;820963744;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;3;866228031;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;361;3274817;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;57;60380058;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;9;950292296;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;96;65570077;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;5;76665241;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;0;800923946;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;320369578;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;30;91566431;CTS
Malta;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;43;45128749;CTS
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;21;96703978;CTS
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;2;655356457;CTS
Malta;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;47;31362415;CTS
Malta;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;CTS;
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;19;31168333;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;487;3102443;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;12;99493985;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;74;22867156;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;5;316111756;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;41;54442891;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;7;842948949;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;6;658503597;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;87;29682361;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;2;20883052;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;16;45418677;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;9;795683177;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;213;912657;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;16;66851872;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;0;CTS;
Liechtenstein;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;5;556172908;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;CTS;
Latvia;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;57;86143932;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;10;90211459;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;3;681233496;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;50;59336292;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;37756241;CTS
Italy;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;109;3396483;CTS
Italy;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;8;112905483;CTS
Italy;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;80;9031813;CTS
Italy;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;591653818;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;330;1912685;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;70;17497634;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;2;942254953;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;51;95056133;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;10;49550647;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;17;79348321;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;13;11098763;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;67;74010277;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;30;59230447;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;6;555493816;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;2;477995201;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;34;20842156;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;181316722;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;146;7557402;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;13;1451138;CTS
Holy See;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;0;CTS;
Holy See;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;0;CTS;
Holy See;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;0;CTS;
Holy See;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;0;CTS;
Holy See;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;CTS;
Greece;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;1;974716284;CTS
Greece;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;55;83395483;CTS
Greece;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;1;588957754;CTS
Greece;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;10;11238432;CTS
Greece;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;4;693395447;CTS
Greece;Southern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;1;717543931;CTS
Germany;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;9;556212533;CTS
Germany;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;59;59147241;CTS
Germany;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;176;8010668;CTS
Germany;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;6;58618951;CTS
Germany;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;45;23983266;CTS
Germany;Western Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;35;68362013;CTS
France;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;36;51903596;CTS
France;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;16;7518249;CTS
France;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;192;4918815;CTS
France;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;3;326996613;CTS
France;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;368;8148457;CTS
Finland;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;45;4467567;CTS
Finland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;15;24474336;CTS
Finland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;28;1040012;CTS
Finland;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;18636606;CTS
Finland;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;37;19866472;CTS
Finland;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;29;18492433;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;7;732134827;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;20;6440493;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;6;80610884;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;44;96649283;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;CTS;
Denmark;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;31;55801355;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;36;18460196;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;17;17418421;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;19;1041774;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;60;7037203;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;171;5273192;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;5;561611744;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;38;14354539;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;9490805;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;12;68920632;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;7;127594573;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2010;Rate per 100;000 population;22;78102742;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2010;Rate per 100;000 population;3;257733131;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2010;Rate per 100;000 population;28;76509041;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2010;Rate per 100;000 population;0;300358374;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2010;Rate per 100;000 population;9;172482644;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2010;Rate per 100;000 population;5;914749514;CTS
