Country,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Score,,
Liechtenstein,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,CTS,
Latvia,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,61,99199723,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,19,159488,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,4,605646154,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,66,36736108,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,138169385,CTS
Italy,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,111,657565,CTS
Italy,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,8,304182423,CTS
Italy,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,109,5259376,CTS
Italy,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,551575575,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,366,5415045,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,31,83969822,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,7,880664992,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,52,6220924,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,1,743710357,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,24,77039134,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,118,383169,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,21,87515079,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,13,83281594,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,127,6738371,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,2,141741879,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,31,30546073,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,110089536,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,25,29056882,CTS
Greece,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,72,53418201,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,6,177361654,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,2,101389888,CTS
Greece,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,29,82705561,CTS
Greece,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,271731451,CTS
Germany,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,639,6030304,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,70,4684383,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,8,995167392,CTS
Germany,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,61,57100796,CTS
Germany,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,2,290733111,CTS
France,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,302,1047994,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,38,62933022,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,16,5200627,CTS
France,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,171,4103187,CTS
France,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,3,333911651,CTS
Finland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,653,7891497,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,54,62968742,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,17,20101995,CTS
Finland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,31,88298344,CTS
Finland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,CTS,
Estonia,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,10,44723883,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,27,4613135,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,11,93970152,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,67,83242927,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,149246269,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,203,7749755,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,7,202971553,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,61,78912719,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,171,4584384,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,16,11469519,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,5,74210569,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,44,51684547,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,76736644,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,25,91531253,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,17,48364613,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,4,319218754,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,28,92498091,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,367593085,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,42,7427445,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,9,954700134,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,3,482151449,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,38,11759677,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,1,687913107,CTS
Bosnia and Herzegovina,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,39,2620545,CTS
Bosnia and Herzegovina,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,4,528188104,CTS
Bosnia and Herzegovina,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,0,932274021,CTS
Bosnia and Herzegovina,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,19,87075486,CTS
Bosnia and Herzegovina,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,213091205,CTS
Belgium,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,9,398109097,CTS
Belgium,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,708,32553,CTS
Belgium,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,61,10162538,CTS
Belgium,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,29,97560759,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,15,25465058,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,5,575035267,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,2,538915492,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,70,83574222,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,200997476,CTS
Austria,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,47,29351048,CTS
Austria,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,8,3078334,CTS
Austria,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,57,37559979,CTS
Austria,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,131870371,CTS
Austria,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,35,17342452,CTS
Andorra,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,125,2086811,CTS
Andorra,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,17,88695445,CTS
Andorra,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,2,38492726,CTS
Andorra,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,4,769854519,CTS
Andorra,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,CTS,
Albania,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,12,8918824,CTS
Albania,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,2,531069713,CTS
Albania,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,1,298838406,CTS
Albania,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,4,795711036,CTS
Albania,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,0,333035489,CTS
Ukraine,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,8,79846356,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,2,943740104,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,1,386702497,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,50,88215462,CTS
Ukraine,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,63766477,CTS/DMDB
Switzerland,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,6,236654264,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,6,953805473,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,56,42443262,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,31,9132288,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,24,95942333,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,CTS,
Sweden,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,98,17727222,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,58,3483322,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,59,57301885,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,150,42347,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,86,95275276,CTS
Spain,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,53,43375194,CTS
Spain,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,21,21837946,CTS
Spain,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,3,362382285,CTS
Spain,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,270609981,CTS
Spain,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,179,8618828,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,106,7861575,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,18,35234147,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,3,83193366,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,22,65902426,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,195758309,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,44,89023819,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,2,164945535,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,21,98252389,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,74015232,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,10,39914009,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,15,47058265,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,5,483103699,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,0,800777822,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,40,26132939,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,222438284,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,3,420006177,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,114,6834637,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,361724721,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,21,18982022,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,10,61547057,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,2,991372838,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,60,8735894,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,4,381624337,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,12,13372893,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,7,258744442,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,1,568006034,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,10,18088197,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,13,6316136,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,9,6164818,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,4,527555683,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,929984411,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,4,1489233,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,192,9208559,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,4,728174778,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,8,144540586,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,20,19619566,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,8,85096436,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,4,88204619,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,50,50641559,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,67832368,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,28,7270077,CTS
Norway,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,59,866415,CTS
Norway,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,50,10358425,CTS
Norway,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,19,1981871,CTS
Norway,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,34,52808277,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,11,97641226,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,5,988206131,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,1,352175578,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,29,1683589,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,820963744,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,3,866228031,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,361,3274817,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,57,60380058,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,9,950292296,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,96,65570077,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,5,76665241,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,0,800923946,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,320369578,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,30,91566431,CTS
Malta,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,43,45128749,CTS
Malta,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,21,96703978,CTS
Malta,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,2,655356457,CTS
Malta,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,47,31362415,CTS
Malta,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,CTS,
Malta,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,19,31168333,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,487,3102443,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,12,99493985,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,74,22867156,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,5,316111756,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,41,54442891,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,7,842948949,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,6,658503597,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,87,29682361,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,2,20883052,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,16,45418677,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,9,795683177,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,213,912657,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,16,66851872,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,0,CTS,
Liechtenstein,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,5,556172908,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,CTS,
Latvia,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,57,86143932,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,10,90211459,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,3,681233496,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,50,59336292,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,37756241,CTS
Italy,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,109,3396483,CTS
Italy,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,8,112905483,CTS
Italy,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,80,9031813,CTS
Italy,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,591653818,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,330,1912685,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,70,17497634,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,2,942254953,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,51,95056133,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,10,49550647,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,17,79348321,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,13,11098763,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,67,74010277,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,30,59230447,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,6,555493816,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,2,477995201,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,34,20842156,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,181316722,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,146,7557402,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,13,1451138,CTS
Holy See,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,0,CTS,
Holy See,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,0,CTS,
Holy See,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,0,CTS,
Holy See,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,0,CTS,
Holy See,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,CTS,
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,1,974716284,CTS
Greece,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,55,83395483,CTS
Greece,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,1,588957754,CTS
Greece,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,10,11238432,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,4,693395447,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,1,717543931,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,9,556212533,CTS
Germany,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,59,59147241,CTS
Germany,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,176,8010668,CTS
Germany,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,6,58618951,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,45,23983266,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,35,68362013,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,36,51903596,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,16,7518249,CTS
France,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,192,4918815,CTS
France,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,3,326996613,CTS
France,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,368,8148457,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,45,4467567,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,15,24474336,CTS
Finland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,28,1040012,CTS
Finland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,18636606,CTS
Finland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,37,19866472,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,29,18492433,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,7,732134827,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,20,6440493,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,6,80610884,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,44,96649283,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,CTS,
Denmark,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,31,55801355,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,36,18460196,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,17,17418421,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,19,1041774,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,60,7037203,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,171,5273192,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,5,561611744,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,38,14354539,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,9490805,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,12,68920632,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,7,127594573,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,22,78102742,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,3,257733131,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,28,76509041,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,0,300358374,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,9,172482644,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2010,5,914749514,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,40,9157643,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,9,373723487,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,2,841746632,CTS
